"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"285201759952056323","285201455542071296","821042","","","2012-12-30 01:52:53 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@markjaquith @waldojaquith yep, my son this week tore up his lip exactly where I've had a scar since I was 3. Am just denying it in my head."
"285200226057351168","285199329164140544","206283535","","","2012-12-30 01:46:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@waldojaquith unfortunately this is true, because the result is every Xmas photo featuring a different one of my son's scars"
"285200005164331008","","","","","2012-12-30 01:45:54 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Okay, lots of replies that many Russians have dash cams to provide necessary evidence in case of insurance claims. #TheMoreYouKnow"
"285199324831416321","285195533541314560","46063","","","2012-12-30 01:43:12 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@hunterwalk probably about 2/3, even more if you count 2011 stuff. Inspired by @torrez."
"285199014658469888","285182381890080768","206283535","","","2012-12-30 01:41:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@waldojaquith LOLOLOL. @ev wisely told me the most danger isn't in crawling or walking, but when they *think* they can walk."
"285198640639770624","","","","","2012-12-30 01:40:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Why are all dashboard cam videos from Russia? Does everybody have a camera mounted under the windshield there?"
"285183949242777601","285166356565987328","22009023","","","2012-12-30 00:42:06 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@pspoole @jeffemanuel who are these people you speak of?"
"285183845190488064","285166673391132672","18168799","","","2012-12-30 00:41:41 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@jeffemanuel okay, I'll grant that maybe they're merely of like mind."
"285180042005344257","285178474061258753","37025524","","","2012-12-30 00:26:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@MinneMike oh, so you don't think media influences crazy people to act out in violence? You should take that up with the NRA."
"285160139617628161","285153677277286401","20656734","","","2012-12-29 23:07:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@popcarts I've been assured by her supporters that acts of violence happen because crazy people are influenced by the media."
"285153106218586115","285152216996798464","468657693","","","2012-12-29 22:39:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@UrbanAchievr @tanehisi there's nothing lulzy about it. You think subway ads don't work?"
"285145812323938305","","","","","2012-12-29 22:10:34 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Pamela Gellar's anti-Muslim subway ads produce results; the first victim was Hindu: http://t.co/YLeiUhFW","http://2.dashes.com/UacyBl"
"285053258203029507","","","285047845235589121","15705567","2012-12-29 16:02:47 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @rafat: Possibly the best data journalism effort anywhere, of Indian politicians' criminal connections &amp; crime against women http ..."
"284917532157165568","284916947899019264","21887115","","","2012-12-29 07:03:27 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kirbywinfield @ftrain how is this an exploit? Browsers format content, and are scriptable. Been this way for 15 years."
"284916990555070466","284912998630428672","21887115","","","2012-12-29 07:01:18 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@kirbywinfield @ftrain I actually have no idea what you're talking about. It's just a cool bookmarklet."
"284906984719917057","284838478297067521","19309313","","","2012-12-29 06:21:33 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@lilybenson you deserve it."
"284902426924941314","","","284751201311010816","6981492","2012-12-29 06:03:26 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @ftrain: HEY! I wrote a bookmarklet to find only tweetable stuff on a page. It's VERY untested, pre-?, Chrome/FF only. http://t.co/0z ..."
"284817600876273664","284817356797136897","1796301","","","2012-12-29 00:26:22 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tofias I think they're completely congruent statements, fwiw."
"284816671452037120","","","","","2012-12-29 00:22:40 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Mystifies me that Americans who've made it past the 4th grade think that branches of gov't checking &amp; balancing each other is a problem."
"284783784707117056","284780249164681216","29979814","","","2012-12-28 22:11:59 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@monaeltahawy heartbreaking."
"284783337451692032","284781725215776768","30488144","","","2012-12-28 22:10:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@harikondabolu @thepantrybklyn here's a tip: the question is racist and reductionist!"
"284701137582575617","284690735486361601","11336782","","","2012-12-28 16:43:35 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Carnage4Life not even remotely plausible that Instagram list 25% of users: http://t.co/50D5M1Ia","http://bit.ly/VlWKx3"
"284452464428728320","","","","","2012-12-28 00:15:27 +0000","<a href=""http://bitly.com"" rel=""nofollow"">bitly</a>","The year's almost over, but it's not too late to give $37 to provide a village with clean water. Join me? http://t.co/NaiRfcZF","http://2.dashes.com/ZEDnnu"
"284445723896987648","","","","","2012-12-27 23:48:39 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Enjoying looking at my Top 25 tweets of the year, thanks to @ThinkUp: http://t.co/RC7aKjat you guys sure like it when I'm a blowhard! :)","http://2.dashes.com/ZEzPld"
"284437629691363328","","","284434242891546624","100127476","2012-12-27 23:16:30 +0000","<a href=""http://itunes.apple.com/us/app/twitter/id409789998?mt=12"" rel=""nofollow"">Twitter for Mac</a>","RT @thinkup: One last gift for 2012: It's ThinkUp 1.2 with a fun new view of your best tweets of the year. Details here: http://t.co/PVX ..."
"284288993221279744","284163740771950593","989","","","2012-12-27 13:25:52 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@om @davewiner @dsearls congrats, Om! Can't wait to see what your new focus brings to your blogging. (The first 11 years are just warm-up.)"
"284081965546745857","","","284071467614863360","1947301","2012-12-26 23:43:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","RT @thenation: David Koch's Americans for Prosperity spent $125 million to oust Obama. Its next target: victims of Hurricane Sandy http: ..."
"284081113809432576","","","","","2012-12-26 23:39:50 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","My son's having hotdogs for dinner so I'm trying to teach him to say ""H-O-T-D-O-G Man"" like he's in Wu Tang. #WuTangIsForTheKids"
"284064313717690368","284060013843054597","3163591","","","2012-12-26 22:33:04 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@gknauss the stoic ones melt down and make horrible choices when they finally crack."
"284063353683456000","284062584347435008","14130784","","","2012-12-26 22:29:15 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@randizuckerberg @cschweitz y'all are okay. Also is a bit indicative of the costs of celebrity culture."
"284055985029533697","284051752741896193","418","","","2012-12-26 21:59:58 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@dens @megnut oh! I thought you were 1000 miles this year. How many this year?"
"284044450047590400","284044356195848193","10990","","","2012-12-26 21:14:08 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@megnut @dens had to go to the website, fitness reports."
"284042503487881216","284036248367136770","3497941","","","2012-12-26 21:06:24 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@owillis at that level it's not ignorance, it's a business calculation."
